,c_ch4,f_ch4,w,phi,z,T,ch4
94,5.200860632412996e+16,0.002,-1.5e-09,0.65,9.431438127090301,4.0,1.8615658321849085e-09
95,5.201062960536356e+16,0.002,-1.5e-09,0.65,9.531772575250836,4.0,1.8615658321849085e-09
96,5.201249574852596e+16,0.002,-1.5e-09,0.65,9.632107023411372,4.0,1.8615658321849085e-09
97,5.201421695773956e+16,0.002,-1.5e-09,0.65,9.732441471571907,4.0,1.8615658321849085e-09
98,5.201580448929316e+16,0.002,-1.5e-09,0.65,9.832775919732441,4.0,1.8615658321849085e-09
99,5.201726872525796e+16,0.002,-1.5e-09,0.65,9.933110367892978,4.0,1.8615658321849085e-09
100,5.201861924138116e+16,0.002,-1.5e-09,0.65,10.033444816053512,4.0,1.8615658321849085e-09
101,5.201986486970916e+16,0.002,-1.5e-09,0.65,10.133779264214047,4.0,1.8615658321849085e-09
102,5.202101375634996e+16,0.002,-1.5e-09,0.65,10.234113712374581,4.0,1.8615658321849085e-09
103,5.202207341474276e+16,0.002,-1.5e-09,0.65,10.334448160535118,4.0,1.8615658321849085e-09
104,5.202305077479556e+16,0.002,-1.5e-09,0.65,10.434782608695652,4.0,1.8615658321849085e-09
105,5.202395222820596e+16,0.002,-1.5e-09,0.65,10.535117056856187,4.0,1.8615658321849085e-09
106,5.202478367026116e+16,0.002,-1.5e-09,0.65,10.635451505016723,4.0,1.8615658321849085e-09
107,5.202555053838916e+16,0.002,-1.5e-09,0.65,10.735785953177258,4.0,1.8615658321849085e-09
108,5.202625784772276e+16,0.002,-1.5e-09,0.65,10.836120401337793,4.0,1.8615658321849085e-09
109,5.202691022389316e+16,0.002,-1.5e-09,0.65,10.936454849498329,4.0,1.8615658321849085e-09
110,5.202751193328276e+16,0.002,-1.5e-09,0.65,11.036789297658864,4.0,1.8615658321849085e-09
111,5.202806691092436e+16,0.002,-1.5e-09,0.65,11.137123745819398,4.0,1.8615658321849085e-09
112,5.202857878623717e+16,0.002,-1.5e-09,0.65,11.237458193979933,4.0,1.8615658321849085e-09
113,5.202905090676356e+16,0.002,-1.5e-09,0.65,11.33779264214047,4.0,1.8615658321849085e-09
114,5.202948636005636e+16,0.002,-1.5e-09,0.65,11.438127090301004,4.0,1.8615658321849085e-09
115,5.202988799387476e+16,0.002,-1.5e-09,0.65,11.538461538461538,4.0,1.8615658321849085e-09
116,5.203025843480756e+16,0.002,-1.5e-09,0.65,11.638795986622075,4.0,1.8615658321849085e-09
117,5.203060010544916e+16,0.002,-1.5e-09,0.65,11.73913043478261,4.0,1.8615658321849085e-09
118,5.203091524024276e+16,0.002,-1.5e-09,0.65,11.839464882943144,4.0,1.8615658321849085e-09
119,5.203120590009396e+16,0.002,-1.5e-09,0.65,11.939799331103679,4.0,1.8615658321849085e-09
120,5.203147398584756e+16,0.002,-1.5e-09,0.65,12.040133779264215,4.0,1.8615658321849085e-09
121,5.203172125072196e+16,0.002,-1.5e-09,0.65,12.14046822742475,4.0,1.8615658321849085e-09
122,5.203194931176756e+16,0.002,-1.5e-09,0.65,12.240802675585284,4.0,1.8615658321849085e-09
123,5.203215966045156e+16,0.002,-1.5e-09,0.65,12.34113712374582,4.0,1.8615658321849085e-09
124,5.203235367240116e+16,0.002,-1.5e-09,0.65,12.441471571906355,4.0,1.8615658321849085e-09
125,5.203253261641076e+16,0.002,-1.5e-09,0.65,12.54180602006689,4.0,1.8615658321849085e-09
126,5.203269766272916e+16,0.002,-1.5e-09,0.65,12.642140468227424,4.0,1.8615658321849085e-09
127,5.203284989072196e+16,0.002,-1.5e-09,0.65,12.74247491638796,4.0,1.8615658321849085e-09
128,5.203299029592276e+16,0.002,-1.5e-09,0.65,12.842809364548495,4.0,1.8615658321849085e-09
129,5.203311979654836e+16,0.002,-1.5e-09,0.65,12.94314381270903,4.0,1.8615658321849085e-09
130,5.203323923950196e+16,0.002,-1.5e-09,0.65,13.043478260869566,4.0,1.8615658321849085e-09
131,5.203334940591316e+16,0.002,-1.5e-09,0.65,13.143812709030101,4.0,1.8615658321849085e-09
132,5.203345101624356e+16,0.002,-1.5e-09,0.65,13.244147157190636,4.0,1.8615658321849085e-09
133,5.203354473500196e+16,0.002,-1.5e-09,0.65,13.34448160535117,4.0,1.8615658321849085e-09
134,5.203363117508516e+16,0.002,-1.5e-09,0.65,13.444816053511706,4.0,1.8615658321849085e-09
135,5.203371090179236e+16,0.002,-1.5e-09,0.65,13.545150501672241,4.0,1.8615658321849085e-09
136,5.203378443651716e+16,0.002,-1.5e-09,0.65,13.645484949832776,4.0,1.8615658321849085e-09
137,5.203385226016036e+16,0.002,-1.5e-09,0.65,13.745819397993312,4.0,1.8615658321849085e-09
138,5.203391481627236e+16,0.002,-1.5e-09,0.65,13.846153846153847,4.0,1.8615658321849085e-09
139,5.203397251395636e+16,0.002,-1.5e-09,0.65,13.946488294314381,4.0,1.8615658321849085e-09
140,5.203402573054037e+16,0.002,-1.5e-09,0.65,14.046822742474916,4.0,1.8615658321849085e-09
